"Date","Site sessions","Phone clicked","Email clicked","Whatsapp clicked"
"21/04/2025","38","8","0","0"
"20/04/2025","15","1","0","0"
"19/04/2025","27","5","0","0"
"18/04/2025","23","2","0","0"
"17/04/2025","27","4","0","0"
"16/04/2025","35","3","0","0"
"15/04/2025","34","5","0","0"
"14/04/2025","64","9","0","0"
"13/04/2025","26","7","0","0"
"12/04/2025","21","2","0","0"
"11/04/2025","32","7","0","0"
"10/04/2025","31","3","0","0"
"09/04/2025","36","4","0","0"
"08/04/2025","37","5","0","0"
"07/04/2025","50","8","0","0"
"06/04/2025","26","5","0","0"
"05/04/2025","17","4","0","0"
"04/04/2025","42","10","0","0"
"02/04/2025","30","7","0","0"
"01/04/2025","37","10","0","0"
"31/03/2025","18","3","0","0"
"29/03/2025","15","3","0","0"
"28/03/2025","27","6","0","0"
"27/03/2025","38","5","0","0"
"26/03/2025","37","5","0","0"
"25/03/2025","38","2","0","0"
"24/03/2025","56","10","0","0"
"23/03/2025","22","2","0","0"
"22/03/2025","23","6","0","0"
"21/03/2025","29","4","0","0"
"20/03/2025","30","5","0","0"
"19/03/2025","33","5","0","0"
"17/03/2025","63","13","0","0"
"16/03/2025","20","3","0","0"
"15/03/2025","26","6","0","0"
"14/03/2025","27","6","0","0"
"13/03/2025","39","3","0","0"
"12/03/2025","33","5","0","0"
"11/03/2025","17","1","0","0"
"10/03/2025","53","5","0","0"
"09/03/2025","10","2","0","0"
"08/03/2025","23","3","0","0"
"07/03/2025","38","9","0","0"
"06/03/2025","27","5","0","0"
"05/03/2025","33","4","0","0"
"04/03/2025","33","3","0","0"
"03/03/2025","41","4","0","0"
"02/03/2025","12","2","0","0"
"01/03/2025","29","4","0","0"
"28/02/2025","36","5","0","0"
"27/02/2025","23","2","0","0"
"26/02/2025","34","2","0","0"
"25/02/2025","45","2","0","0"
"24/02/2025","41","9","0","0"
"23/02/2025","14","1","0","0"
"22/02/2025","18","2","0","0"
"21/02/2025","29","8","0","0"
"20/02/2025","31","4","0","0"
"19/02/2025","35","5","0","0"
"17/02/2025","41","10","0","0"
"16/02/2025","14","1","0","0"
"15/02/2025","21","1","0","0"
"14/02/2025","33","4","0","0"
"13/02/2025","39","3","0","0"
