"Date","Page views","Site sessions","Unique visitors","Bounce rate","Avg. session duration"
"17/05/2020","4","1","1","0%","7s"
"16/05/2020","10","5","4","100%","1s"
"15/05/2020","20","10","7","100%","1s"
"13/05/2020","4","2","2","100%","1s"
"09/05/2020","4","2","1","100%","1s"
"07/05/2020","10","2","2","50%","31m, 16s"
"06/05/2020","8","4","2","100%",
"29/04/2020","2","1","1","100%","1s"
"28/04/2020","2","1","1","100%","1s"
"27/04/2020","2","1","1","100%",
"24/04/2020","4","2","1","100%","1s"
"23/04/2020","2","1","1","100%","1s"
"20/04/2020","4","2","2","100%",
"19/04/2020","2","1","1","100%",
"17/04/2020","2","1","1","100%","1s"
"14/04/2020","2","1","1","100%",
"03/04/2020","2","1","1","100%",
"02/04/2020","4","2","1","100%",
"31/03/2020","2","1","1","100%",
"30/03/2020","2","1","1","100%","1s"
"27/03/2020","2","1","1","100%",
"22/03/2020","2","1","1","100%","1s"
"20/03/2020","2","1","1","100%",
"19/03/2020","2","1","1","100%",
"12/03/2020","2","1","1","100%",
"03/03/2020","6","2","1","50%","5m, 36s"
"29/02/2020","2","1","1","100%",
"28/02/2020","10","5","3","100%","1s"
"27/02/2020","10","4","2","75%","2m, 44s"
"26/02/2020","17","6","4","50%","5m, 7s"
"25/02/2020","24","4","2","25%","15m, 21s"
"24/02/2020","2","1","1","100%","1s"
"23/02/2020","10","2","1","0%","4m, 36s"
